source_id,stage,stage_index,model,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0803,quantized_8bit,2,dpir_nominal,3,0.0023834437597543,0.07704620808362961,2.9299111702130176e-05,0.00011179695138707757
0803,quantized_8bit,2,dpir_nominal,4,0.005944420117884874,0.04878642410039902,1.5917879863991402e-05,8.937538223108277e-05
0803,quantized_8bit,2,dpir_nominal,5,0.014825660735368729,0.03089204803109169,8.845092452247627e-06,7.576854841317981e-05
0803,quantized_8bit,2,dpir_nominal,6,0.03697589039802551,0.019561151042580605,5.622458502330119e-06,6.677569035673514e-05
0803,quantized_8bit,2,dpir_nominal,7,0.09221960604190826,0.012386314570903778,3.6521405490930192e-06,6.08841328357812e-05
0803,quantized_8bit,2,dpir_nominal,8,0.22999997437000275,0.007843137718737125,1.4895716731189168e-06,5.811525625176728e-05
0803,quantized_8bit,2,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.0006647137342952192,0.00019926090317312628
0803,quantized_8bit,2,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,6.811069033574313e-05,0.00013453459541779011
0803,quantized_8bit,2,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,3.695804480230436e-05,0.0001013884975691326
0803,quantized_8bit,2,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,1.9374290786799975e-05,8.307597454404458e-05
0803,quantized_8bit,2,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,1.1458856533863582e-05,7.163251575548202e-05
0803,quantized_8bit,2,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,7.372809250227874e-06,6.468914216384292e-05
0803,quantized_8bit,2,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,3.710568989845342e-06,6.13139127381146e-05
0803,quantized_8bit,2,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,1.421347405994311e-06,6.000155190122314e-05
0803,jpeg_q75,3,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.0003854137903545052,0.0002315679012099281
0803,jpeg_q75,3,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,0.00010274322266923264,0.00014961042325012386
0803,jpeg_q75,3,dpir_nominal,3,0.0023834437597543,0.07704620808362961,5.030436295783147e-05,0.00010358562576584518
0803,jpeg_q75,3,dpir_nominal,4,0.005944420117884874,0.04878642410039902,3.038570866920054e-05,7.486395770683885e-05
0803,jpeg_q75,3,dpir_nominal,5,0.014825660735368729,0.03089204803109169,2.283926551172044e-05,5.213209078647196e-05
0803,jpeg_q75,3,dpir_nominal,6,0.03697589039802551,0.019561151042580605,1.6909605619730428e-05,3.4417043934809044e-05
0803,jpeg_q75,3,dpir_nominal,7,0.09221960604190826,0.012386314570903778,7.776421625749208e-06,2.593502722447738e-05
0803,jpeg_q75,3,dpir_nominal,8,0.22999997437000275,0.007843137718737125,2.737142040132312e-06,2.2865639039082453e-05
0803,jpeg_q75,3,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.0008501850534230471,0.00018825539154931903
0803,jpeg_q75,3,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,0.0001531585439806804,0.00012106225767638534
0803,jpeg_q75,3,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,9.305220009991899e-05,8.251252438640222e-05
0803,jpeg_q75,3,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,5.566736945183948e-05,5.798100391984917e-05
0803,jpeg_q75,3,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,3.270315573900007e-05,4.1837436583591625e-05
0803,jpeg_q75,3,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,1.4395963262359146e-05,3.4017430152744055e-05
0803,jpeg_q75,3,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,5.52624760530307e-06,3.112985723419115e-05
0803,jpeg_q75,3,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,2.142466883015004e-06,3.0085926482570358e-05
0804,linear_float,0,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.0003395200183149427,0.00033644362702034414
0804,linear_float,0,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,9.176602179650217e-05,0.00019468060054350644
0804,linear_float,0,dpir_nominal,3,0.0023834437597543,0.07704620808362961,4.800609895028174e-05,0.00012833104119636118
0804,linear_float,0,dpir_nominal,4,0.005944420117884874,0.04878642410039902,2.3144290025811642e-05,9.462759044254199e-05
0804,linear_float,0,dpir_nominal,5,0.014825660735368729,0.03089204803109169,1.2275794688321184e-05,7.611258479300886e-05
0804,linear_float,0,dpir_nominal,6,0.03697589039802551,0.019561151042580605,6.670435595879098e-06,6.55814801575616e-05
0804,linear_float,0,dpir_nominal,7,0.09221960604190826,0.012386314570903778,3.4454483284207527e-06,5.989289638819173e-05
0804,linear_float,0,dpir_nominal,8,0.22999997437000275,0.007843137718737125,1.3796321809422807e-06,5.733132638852112e-05
0804,linear_float,0,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.0011646401835605502,0.00026276454445905983
0804,linear_float,0,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,0.0001506620756117627,0.00016134920588228852
0804,linear_float,0,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,6.64843973936513e-05,0.00011207287025172263
